Id_ASMR;CodeCIS
295;69597619
296;69596271
297;69594530
298;69592294
299;69591915
300;69591915
301;69590806
302;69586398
303;69586252
304;69582503
305;69582503
306;69582503
307;69582503
308;69582503
309;69582503
310;69582503
311;69582503
312;69582503
313;69582503
314;69582503
315;69582503
316;69581846
317;69581846
318;69581846
319;69581821
320;69579980
321;69573276
322;69573276
323;69570312
324;69567729
325;69567729
326;69567729
327;69567661
328;69565411
329;69565411
330;69565055
331;69565055
332;69558317
333;69558317
334;69557560
335;69557432
336;69557432
337;69557432
338;69557432
339;69556750
340;69556750
341;69556177
342;69556177
343;69553494
344;69553494
345;69552232
346;69552232
347;69552232
348;69549916
349;69549631
350;69548508
351;69548508
352;69548508
353;69548383
354;69548383
355;69546674
356;69546674
357;69546674
358;69546553
359;69546553
360;69545330
361;69545056
362;69545056
363;69544246
364;69541570
365;69541570
366;69541570
367;69541549
368;69540251
369;69537216
370;69537216
371;69537134
372;69537134
373;69537134
374;69537091
375;69537091
376;69537091
377;69535350
378;69532557
379;69531804
380;69531658
381;69528523
382;69522794
383;69521735
384;69516211
385;69516026
386;69513592
387;69513592
388;69505147
389;69505147
390;69505147
391;69501597
392;69498279
393;69497729
394;69497711
395;69496004
396;69495532
397;69494455
398;69493862
399;69493182
400;69492739
401;69491847
402;69485666
403;69483042
404;69482353
405;69481664
406;69481664
407;69481664
408;69481664
409;69481664
410;69481493
411;69475939
412;69474926
413;69474926
414;69472455
415;69472195
416;69472195
417;69471481
418;69471481
419;69470867
420;69470867
421;69470867
422;69469719
423;69469719
424;69469719
425;69468019
426;69468019
427;69468019
428;69467344
429;69466477
430;69466146
431;69466146
432;69466146
433;69464049
434;69458167
435;69458167
436;69458135
437;69454261
438;69454261
439;69452417
440;69449086
441;69448600
442;69448283
443;69447142
444;69443966
445;69443966
446;69443966
447;69443927
448;69443806
449;69443642
450;69441965
451;69441965
452;69441965
453;69441755
454;69439245
455;69439245
456;69438015
457;69431992
458;69431992
459;69430342
460;69429411
461;69426034
462;69424357
463;69422609
464;69422609
465;69422057
466;69420661
467;69419292
468;69414377
469;69411153
470;69410368
471;69406163
472;69401038
473;69400922
474;69399740
475;69399740
476;69398962
477;69394259
478;69391124
479;69391124
480;69388669
481;69388085
482;69387574
483;69386458
484;69386390
485;69381411
486;69381411
487;69381411
488;69380042
489;69378155
490;69373208
491;69372120
492;69371634
493;69369640
494;69366377
495;69357912
496;69357549
497;69357111
498;69355943
499;69355295
500;69354916
501;69352363
502;69352363
503;69351293
504;69349794
505;69349666
506;69348361
507;69347505
508;69342814
509;69342814
510;69342796
511;69341566
512;69341566
513;69340343
514;69340343
515;69340279
516;69340279
517;69340279
518;69340279
519;69340279
520;69340279
521;69339992
522;69339049
523;69337678
524;69337532
525;69337055
526;69333402
527;69331180
528;69328782
529;69326767
530;69325747
531;69325747
532;69325035
533;69321040
534;69320173
535;69318749
536;69316926
537;69311110
538;69310332
539;69309629
540;69304991
541;69304094
542;69302990
543;69298346
544;69289895
545;69289176
546;69288373
547;69287684
548;69287684
549;69287499
550;69287499
551;69285434
552;69285352
553;69285352
554;69284439
555;69279730
556;69279253
557;69279221
558;69278991
559;69277633
560;69276588
561;69276588
562;69270884
563;69270884
564;69270884
565;69270884
566;69270610
567;69270457
568;69270457
569;69269825
570;69269825
571;69269647
572;69269647
573;69269241
574;69269241
575;69267482
576;69265912
577;69265912
578;69264461
579;69264461
580;69261547
581;69260153
582;69260153
583;69260153
584;69258437
585;69256710
586;69256710
587;69255195
588;69252651
589;69250216
590;69249527
591;69248642
592;69248642
593;69248005
594;69247501
595;69245945
596;69245055
597;69245055
598;69245055
599;69244971
600;69244971
601;69243759
602;69243759
603;69243168
604;69241562
605;69241562
606;69241562
607;69241562
608;69240179
609;69236394
610;69236394
611;69233327
612;69232606
613;69231098
614;69230270
615;69227858
616;69226514
617;69225978
618;69225978
619;69225978
620;69225978
621;69225978
622;69225686
623;69225138
624;69224470
625;69224470
626;69219167
627;69219167
628;69214519
629;69214070
630;69213011
631;69209162
632;69209162
633;69208135
634;69208135
635;69205370
636;69205370
637;69203387
638;69201849
639;69201646
640;69200149
641;69200149
642;69200149
643;69200149
644;69198506
645;69197614
646;69197468
647;69197468
648;69196284
649;69196284
650;69190210
651;69190210
652;69190025
653;69189667
654;69189172
655;69189172
656;69186151
657;69186151
658;69184289
659;69183696
660;69183696
661;69181040
662;69179872
663;69177024
664;69176399
665;69176399
666;69174754
667;69174754
668;69174754
669;69174658
670;69174658
671;69174658
672;69171174
673;69171174
674;69170325
675;69169700
676;69168445
677;69166540
678;69163238
679;69161760
680;69161632
681;69161632
682;69159439
683;69159193
684;69158839
685;69158682
686;69158682
687;69156724
688;69155907
689;69155907
690;69153863
691;69153863
692;69150358
693;69150358
694;69148567
695;69144857
696;69141416
697;69140990
698;69140809
699;69140061
700;69139714
701;69139269
702;69138295
703;69133501
704;69133241
705;69129168
706;69128244
707;69128244
708;69123770
709;69123578
710;69122832
711;69122832
712;69122540
713;69122316
714;69118257
715;69117575
716;69116135
717;69111017
718;69111017
719;69111017
720;69108170
721;69108170
722;69107620
723;69107620
724;69107620
725;69107620
726;69098993
727;69096857
728;69092403
729;69091027
730;69091027
731;69088287
732;69086891
