CodeCIS;ID_gp_gen
61192704;963
61193553;14
61194947;1384
61196357;1027
61197676;675
61198148;801
61198689;131
61198803;159
61200108;1191
61200414;871
61200859;272
61201295;625
61201498;1050
61202792;381
61203061;29
61203570;1729
61203595;1372
61204074;1314
61204836;1281
61206381;677
61207298;1498
61207871;289
61208902;26
61209018;517
61210038;561
61210159;963
61210508;451
61211784;883
61212982;971
61213066;332
61214570;1106
61214830;574
61214990;1494
61215042;1381
61216849;702
61217495;1125
61221166;511
61223605;1037
61224073;38
61225182;1709
61226028;942
61226754;1105
61228659;531
61229120;703
61229953;1464
61230539;189
61231388;1061
61232547;309
61233250;1127
61234174;1251
61234861;1487
61237544;1586
61241069;1257
61243351;1191
61243903;307
61246828;159
61247556;258
61248124;466
61249824;243
61251444;1249
61251622;1326
61251960;943
61252279;353
61253089;1065
61253160;270
61255179;1296
61255738;129
61257269;29
61258798;1245
61259277;819
61260984;341
61262686;893
61263329;1663
61264178;42
61267669;302
61267758;1727
61268422;39
61270455;717
61270633;43
61271062;509
61271518;1559
61271735;317
61272488;851
61273686;1145
61273750;1278
61274368;14
61275694;102
61276216;723
61276636;1104
61276718;1027
61281455;1389
61282094;619
61282742;1412
61286317;63
61288115;1119
61290319;811
61290963;290
61294424;1375
61294680;491
61294933;1075
61299147;98
61301363;619
61301630;509
61303791;29
61305034;972
61306595;1312
61308938;331
61310469;1552
61310483;1022
61312299;910
61313611;1285
61314485;1753
61315306;864
61318238;448
61318430;1526
61321095;27
61321177;234
61322336;1279
61323160;411
61323954;1237
61324091;357
61324127;575
61324141;294
61324159;1262
61324700;1384
61325649;666
61326459;800
61327803;852
61331851;1072
61334559;782
61334872;1223
61334993;776
61335351;135
61335561;1456
61336243;912
61336275;1069
61337509;56
61339638;1766
61339905;23
61340462;601
61342890;657
61342926;1474
61342940;1011
61343184;366
61343825;411
61344795;1125
61346771;271
61346892;1640
61348060;740
61348135;1547
61350061;157
61350136;480
61350360;1336
61350702;1271
61350780;657
61351252;467
61353972;381
61354049;1072
61354444;1068
61354914;301
61355076;659
61357383;1322
61357853;1313
61358656;411
61358994;404
61359256;1421
61360123;28
61364577;1312
61365088;1547
61365280;1549
61365825;680
61367363;1417
61369617;1051
61370480;29
61370516;380
61371194;1385
61373900;1587
61374393;1519
61374863;82
61376024;401
61377140;148
61377350;89
61377514;1019
61378064;979
61378274;189
61379885;1072
61380058;419
61380446;884
61380528;308
61380670;1486
61381352;1112
61381943;229
61383702;78
61384099;1265
61385475;1105
61385500;1682
61386545;418
61386627;777
61387063;784
61387095;1342
61387348;1700
61390351;752
61391955;914
61392480;795
61393123;1502
61393881;649
61394054;1259
61394570;346
61396272;923
61396347;1209
61398654;1663
61398768;1308
61400297;1252
61400781;656
61401463;1505
61403425;629
61404018;1484
61405814;1143
61407427;1025
61407637;1505
61407797;520
61408707;926
61410569;1068
61410829;1422
61410900;701
61410989;481
61411404;913
61411685;102
61415185;419
61415580;1243
61416209;699
61417784;275
61419568;120
61420022;762
61420645;1034
61420990;1420
61422183;629
61422735;811
61424743;969
61425037;276
61425674;952
61425934;1361
61426025;279
61429046;295
61429943;1218
61430002;1159
61431008;330
61432067;417
61432512;1373
61434805;898
61435483;1312
61435661;796
61435939;1559
61436457;1330
61437096;268
61438166;275
61438974;971
61440256;108
61440690;1405
61442353;1607
61444219;845
61446451;882
61447770;1323
61448776;1089
61449860;1552
61450026;29
61451313;353
61452187;1036
61454487;175
61455112;1042
61456011;188
61456335;1375
61457558;57
61458546;1312
61458973;1777
61459178;1123
61460248;285
61460611;370
61461179;236
61462270;1337
61462480;156
61464150;1729
61464435;909
61468832;995
61469681;1396
61470000;1649
61470609;892
61471344;968
61472713;192
61473085;237
61475862;1236
61476868;1711
61476882;1490
61476925;175
61477564;164
61478851;243
61479138;189
61480507;1022
61482159;914
61482173;900
61483122;1322
61483364;1347
61484459;322
61484530;1688
61485002;351
61485148;491
61485696;661
61490953;14
61490985;365
61491578;1142
61491877;258
61492947;1490
61493159;177
61494243;308
61494492;1631
61495968;504
61496529;825
61497143;124
61497951;674
61498569;1125
61499240;629
61499315;1542
61500529;82
61501937;866
61502487;192
61503742;1468
61503831;478
61505362;1585
61505540;622
61506592;674
61507819;1274
61509909;1419
61510021;349
61511073;352
61511543;865
61512136;902
61512638;1675
61513373;1575
61515919;1752
61516056;1242
61516533;623
61516679;1342
61519586;1199
61520873;482
61521911;364
61527330;197
61527857;1700
61528642;1775
61530248;550
61532231;952
61532847;1420
61535074;173
61535416;736
61536144;747
61536443;750
61536799;480
61537552;1027
61537673;1418
61538679;1564
61539350;135
61539884;826
61541141;1257
61541629;1181
61541821;10
61542325;963
61542706;460
61543911;1314
61544116;50
61545271;854
61547030;979
61547468;248
61547571;1021
61550884;943
61552134;888
61552390;148
61553841;1034
61556061;589
61556531;86
61556563;1401
61556809;630
61558297;1132
61559602;282
61562566;358
61563134;964
61565950;14
61567061;782
61567727;271
61569137;882
61569856;1349
61570367;19
61571533;1546
61572425;892
61572507;496
61572941;184
61573299;1257
61574294;191
61578061;1371
61578296;1732
61578339;1526
61581417;1408
61581456;14
61581890;1491
61589937;910
61591023;264
61591226;706
61594165;672
61595331;892
61598594;629
61598975;1086
61599041;374
61599059;1257
61599828;1489
61599842;498
61600020;148
61601738;1469
61602060;1549
61605035;825
61605245;1659
61606055;825
61607602;1243
61609158;923
61609343;1250
61609749;422
61610687;1025
61611472;1041
61613128;354
61613167;478
61613434;1354
61614493;849
61615937;1509
61616875;1249
61616900;1241
61618260;1640
61620521;1267
61621580;1041
61621687;500
61621858;1181
61622725;656
61623204;1173
61624936;380
61626015;393
61627341;309
61628308;1545
61628475;1336
61629157;1422
61629890;1775
61630825;478
61631165;968
61631635;1095
61631770;691
61633134;1485
61633579;915
61633586;147
61634204;891
61634478;1595
61634827;157
61634962;1255
61635181;300
61636187;403
61638010;995
61639048;317
61642119;865
61644230;1368
61644248;851
61644643;242
61645318;893
61646847;1231
61647575;824
61648894;1240
61649099;1344
61649829;278
61650361;883
61650728;379
61651374;1022
61651634;29
61653489;1308
61653585;460
61659061;1529
61662029;837
61662050;968
61662513;1176
61662634;498
61662755;329
61662919;699
61663953;600
61664126;235
61664368;165
61665534;1038
61665573;797
61665908;309
61665915;94
61667994;1099
61668199;289
61670321;1779
61671430;591
61671836;352
61672151;490
61673260;1095
61673424;123
61673680;820
61673890;55
61674031;115
61674704;735
61675795;802
61676897;917
61677878;1104
61678318;75
61678485;1025
61678930;649
61679174;1370
61680479;1789
61683055;968
61683272;198
61683322;1158
61683436;294
61684812;754
61684869;1614
61685049;1100
61685323;109
61685711;1024
61686286;1415
61687655;1680
61688718;463
61689033;823
61689332;795
61689364;814
61690110;146
61690968;1136
61693373;620
61694240;1490
61695417;188
61695762;1574
61695837;1401
61696661;1221
61696953;381
61697350;1300
61697585;553
61698064;1377
61698826;1501
61698947;404
61699383;780
