CodeCIS;Code_substance
63855240;37
64147835;37
64162883;37
64212457;37
64497629;37
64944934;37
65004263;37
65215068;37
65460224;37
65496590;37
65616965;37
66197032;37
66284708;37
66316885;37
66319116;37
66388308;37
66488326;37
66544465;37
66584214;37
66691390;37
66785587;37
66877523;37
67229134;37
67270558;37
67275338;37
67320146;37
67411717;37
67436923;37
67647055;37
68344335;37
68649828;37
69207994;37
69232741;37
69386789;37
69494708;37
69674122;37
69895658;37
69979597;37
67703803;42
68001518;50
63665248;52
64630264;52
65959832;52
67746384;52
68518405;52
68598209;52
67976855;53
65104897;54
67313600;57
69575804;59
61279479;63
61522753;63
63022907;69
61001031;72
61890004;72
63160388;72
64987202;72
66001124;72
67312509;72
68599161;72
60572618;73
61966263;73
62128430;73
63476404;73
63911415;73
64240652;73
64470906;73
64835956;73
65267855;73
65323898;73
66092871;73
67064661;73
68009657;73
68521821;73
68759274;73
60175972;77
66758647;77
61252667;78
66057308;78
60195398;81
62057517;82
69610283;82
60950103;83
61574515;83
61732118;83
62287735;83
62393891;83
62704335;83
63426508;83
66516206;83
66837265;83
66986355;83
67408144;83
67828290;83
69774158;83
65458611;86
61962852;87
69699339;87
65236258;90
60420681;93
60470798;93
60503789;93
60582719;93
60875266;93
60885246;93
60900520;93
61095956;93
61278936;93
61334096;93
61673246;93
61684869;93
61958925;93
62001372;93
62083608;93
62090079;93
62201138;93
62206181;93
62278056;93
62427265;93
62868498;93
62884698;93
62904987;93
63061130;93
63122811;93
63337059;93
63382862;93
63469484;93
63486220;93
63515348;93
63540910;93
63571101;93
63650748;93
63662572;93
63979626;93
64060871;93
64090327;93
64119056;93
64413588;93
64478333;93
64514847;93
64729522;93
65428529;93
65535851;93
65545347;93
65635346;93
65799566;93
65940586;93
66027553;93
66032721;93
66148284;93
66312310;93
66341408;93
66533294;93
66564731;93
66678546;93
66728771;93
66809426;93
67130200;93
67181796;93
67348487;93
67390664;93
67437110;93
67563080;93
67596066;93
67627711;93
67678175;93
67968730;93
68072077;93
68081197;93
68209693;93
68341093;93
68377958;93
68393396;93
68491709;93
68575185;93
68604270;93
69077294;93
69083660;93
69218161;93
69559248;93
69706253;93
69828061;93
69869147;93
69911176;93
60307630;95
62083608;95
62263143;95
63163224;95
64115983;95
66369763;95
67678175;95
68575185;95
69564327;95
69998996;95
63163224;96
66067708;96
66286011;96
60178712;101
63409284;101
63599951;101
63617367;101
64216338;108
64316274;108
64458633;108
67821367;108
69734808;108
69768949;111
61957392;112
67911779;112
60671712;113
61054685;113
61382116;113
63211078;113
67690537;113
67908039;113
69088885;113
69135192;113
63588061;114
60230550;126
60328432;126
60745696;126
60859059;126
60940205;126
61789941;126
61961476;126
63625168;126
69203907;126
69392468;126
64805297;127
67066573;127
69251791;127
69930917;128
60130386;129
69610529;129
66787499;132
65008219;134
66787499;134
60054376;141
62550435;141
63915004;141
64645120;141
67366695;141
69565411;141
69656722;141
69983777;141
60996766;152
62675015;152
64223756;152
64380679;152
65185486;152
66347329;152
66633017;152
67983159;152
68105513;152
68703172;152
69150785;152
69610529;152
64072763;155
66347329;155
66385625;155
69150785;155
69610529;155
64072763;157
62999693;158
68752760;158
69068587;158
64424727;159
60253606;159
68752760;159
63070147;160
68752760;160
69068587;160
61179660;163
61695844;163
63547132;163
64421453;163
67065507;163
67121475;163
69339049;163
69768123;163
60803021;165
66627288;165
67955583;165
69996970;165
60238376;166
64973850;166
69501476;166
60293846;180
60295046;180
62652340;185
61989753;188
65472835;189
68330410;189
60281598;191
61969626;191
62096139;191
62101141;191
62500717;191
62604153;191
63661520;191
63874155;191
63880820;191
64000931;191
64021217;191
64304820;191
64847741;191
65521830;191
65637614;191
66904792;191
66931921;191
67050875;191
67470053;191
67579483;191
67771398;191
67787559;191
68167148;191
69461099;191
61535074;195
62069124;195
65128250;195
66752651;195
67793327;195
69778256;195
60078078;196
60397542;196
60781361;196
60812935;196
60928936;196
60946980;196
61109509;196
61171418;196
61273686;196
61325649;196
61400411;196
61679651;196
61848286;196
62351344;196
63071085;196
63099572;196
63463104;196
63905960;196
63941294;196
64001684;196
64061667;196
64099785;196
64425341;196
64433523;196
64558256;196
64559600;196
64941404;196
64977368;196
65357943;196
65678792;196
66036285;196
66288222;196
66349230;196
66595328;196
66791234;196
66819566;196
66942362;196
67421348;196
68486929;196
68494153;196
68871572;196
69204699;196
69311110;196
69352541;196
69491847;196
69562874;196
60118971;199
61818407;199
64172183;199
65466316;199
66845027;199
67458161;199
67771462;199
67803141;199
67907108;199
60396928;200
60657189;200
60892664;200
60903438;200
61103424;200
61417407;200
62081557;200
62310931;200
62458353;200
62782316;200
63212842;200
63395607;200
63432799;200
63521098;200
63598408;200
63633802;200
63781007;200
63850791;200
63981755;200
64190637;200
64310442;200
64342874;200
64343809;200
64433879;200
64858702;200
65103140;200
65407652;200
65492389;200
65711858;200
65813464;200
66198255;200
66359096;200
66488803;200
66489175;200
66708726;200
67918211;200
69512818;200
69723217;204
61232102;210
60030980;213
61989753;213
64230811;213
65008219;213
65038536;213
66787499;213
62028152;216
65862059;216
62444396;217
63598461;218
69054954;224
60130386;234
64834605;234
65256499;234
67034180;234
67500468;234
68853923;234
66703316;241
69054954;241
68789050;247
63539370;249
64462852;249
68338784;250
69638788;250
60177628;251
61053124;251
61054685;251
61276928;251
61500657;251
62862118;251
63126635;251
65853875;251
