Identifiant,CodeCIS
1460,67656403
1461,65639871
1462,61871331
1463,64493890
1464,61779406
1465,68268955
1466,60968585
1467,60968585
1468,67911715
1469,67911715
1470,64696734
1471,64856637
1472,67226483
1473,69673433
1474,63209020
1475,63209020
1476,63601338
1477,63601338
1478,64086275
1479,64086275
1480,68183914
1481,68183914
1482,60545083
1483,65443214
1484,67523118
1485,67666657
1486,61091986
1487,61251960
1488,67104999
1489,62931799
1490,67003384
1491,68990612
1492,66009893
1493,68677400
1494,69038793
1495,69650566
1496,64530520
1497,62160702
1498,65913265
1499,65913265
1500,60757264
1501,61736230
1502,61951699
1503,67675236
1504,60249903
1505,61505362
1506,61641704
1507,61892368
1508,63212461
1509,69381411
1510,62030744
1511,62726958
1512,62003633
1513,63314092
1514,62806411
1515,63815096
1516,65496626
1517,63558075
1518,64751935
1519,64751935
1520,67638864
1521,65082408
1522,64380476
1523,66266717
1524,65735898
1525,66285258
1526,68834182
1527,68834182
1528,61181501
1529,61767418
1530,62258872
1531,62870086
1532,64329581
1533,64441527
1534,64699513
1535,66510865
1536,61605665
1537,61605665
1538,61605665
1539,62067340
1540,62067340
1541,62067340
1542,66302120
1543,66302120
1544,66302120
1545,66576865
1546,65726536
1547,60245253
1548,63841924
1549,65786896
1550,68425602
1551,62143724
1552,67703803
1553,67703803
1554,66155738
1555,61341589
1556,63592177
1557,63592177
1558,63592177
1559,63592177
1560,64202598
1561,64202598
1562,64202598
1563,64202598
1564,65837903
1565,65837903
1566,65837903
1567,65837903
1568,61529993
1569,62696479
1570,62996512
1571,66410968
1572,67890616
1573,69287684
1574,69908842
1575,60396928
1576,61417407
1577,64190637
1578,64342874
1579,63855240
1580,63855240
1581,62205873
1582,65037644
1583,65869160
1584,67454800
1585,64189396
1586,60215018
1587,60215018
1588,66071126
1589,66071126
1590,67649597
1591,67649597
1592,62868498
1593,67592324
1594,64005832
1595,60248840
1596,60248840
1597,61477322
1598,61477322
1599,61803451
1600,61803451
1601,62348191
1602,62348191
1603,63052124
1604,62521070
1605,60295320
1606,61683322
1607,62860793
1608,62877102
1609,67147922
1610,67147922
1611,65006702
1612,66496173
1613,61415541
1614,66684652
1615,69541570
1616,64346029
1617,64346029
1618,63931930
1619,62008826
1620,60150015
1621,65945882
1622,67503464
1623,68469328
1624,66921973
1625,66921973
1626,66921973
1627,69024555
1628,69024555
1629,69024555
1630,61201295
1631,63699439
1632,61380670
1633,64803271
1634,63047629
1635,67180242
1636,67619892
1637,68206925
1638,60642949
1639,63691015
1640,63567964
1641,66728771
1642,65706793
1643,66242506
1644,66710887
1645,66710887
1646,67652351
1647,62899604
1648,62899604
1649,66705776
1650,66705776
1651,60009573
1652,60468092
1653,67008036
1654,62782316
1655,69918085
1656,65082422
1657,62754943
1658,64371687
1659,69969425
1660,60716805
1661,64198267
1662,62689214
1663,63613333
1664,66701315
1665,68381052
1666,65066667
1667,66807418
1668,68522898
1669,60890357
1670,62606108
1671,66539322
1672,60105568
1673,61118586
1674,63999931
1675,64576012
1676,62395974
1677,66330568
1678,67312950
1679,60345905
1680,60345905
1681,60261656
1682,60261656
1683,60980609
1684,60980609
1685,69586252
1686,69586252
1687,60070359
1688,62416105
1689,62416105
1690,67207102
1691,65505630
1692,67248985
1693,68712716
1694,67017786
1695,65652406
1696,69320173
1697,63252648
1698,65547106
1699,67167017
1700,60941734
1701,60673325
1702,60673325
1703,65580825
1704,65580825
1705,67737086
